"refseq_mrna","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_000063","ENSG00000166278",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_000063","ENSG00000235017",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_000063","ENSG00000226560",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_000063","ENSG00000206372",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_000063","ENSG00000235696",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_000063","ENSG00000204364",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_000063","ENSG00000231543",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_000070","ENSG00000092529",42.7424406893924,-1.5299325362695,0.468268480052043,-3.26721229688462,0.00108612199083886,0.0192208446468545
"NM_000161","ENSG00000131979",389.374127432658,-2.49466142760398,0.334213063943592,-7.46428460386284,8.37533982051549e-14,7.24445528811782e-12
"NM_000201","ENSG00000090339",2365.94136723034,-2.15822255935983,0.309897428588073,-6.964312576561,3.30011157644624e-12,2.49213548379872e-10
"NM_000215","ENSG00000105639",78.2330949219185,-1.72779333264474,0.447509825835825,-3.8609059128874,0.000112967401082898,0.00279998952377033
"NM_000450","ENSG00000007908",1503.51760775056,-2.81922615897522,0.960968189693515,-2.93373515295482,0.00334909851136851,0.0482377177256723
"NM_000544","ENSG00000225967",1381.70158810286,-2.28882319741381,0.293883536813477,-7.78819808088293,6.79715645255728e-15,6.40197732880166e-13
"NM_000544","ENSG00000232326",1381.70158810286,-2.28882319741381,0.293883536813477,-7.78819808088293,6.79715645255728e-15,6.40197732880166e-13
"NM_000544","ENSG00000223481",1381.70158810286,-2.28882319741381,0.293883536813477,-7.78819808088293,6.79715645255728e-15,6.40197732880166e-13
"NM_000584","ENSG00000169429",5591.35331540076,-1.76652903768457,0.434378896941933,-4.0667929545406,4.76645554064639e-05,0.00129500166680046
"NM_000593","ENSG00000232367",1761.57501061133,-3.41696812438479,0.233278053756795,-14.647619308189,1.39519171552106e-48,4.5054062379212e-46
"NM_000593","ENSG00000227816",1761.57501061133,-3.41696812438479,0.233278053756795,-14.647619308189,1.39519171552106e-48,4.5054062379212e-46
"NM_000593","ENSG00000168394",1761.57501061133,-3.41696812438479,0.233278053756795,-14.647619308189,1.39519171552106e-48,4.5054062379212e-46
"NM_000593","ENSG00000224748",1761.57501061133,-3.41696812438479,0.233278053756795,-14.647619308189,1.39519171552106e-48,4.5054062379212e-46
"NM_000593","ENSG00000230705",1761.57501061133,-3.41696812438479,0.233278053756795,-14.647619308189,1.39519171552106e-48,4.5054062379212e-46
"NM_000593","ENSG00000224212",1761.57501061133,-3.41696812438479,0.233278053756795,-14.647619308189,1.39519171552106e-48,4.5054062379212e-46
"NM_000593","ENSG00000226173",1761.57501061133,-3.41696812438479,0.233278053756795,-14.647619308189,1.39519171552106e-48,4.5054062379212e-46
"NM_000593","ENSG00000206297",1761.57501061133,-3.41696812438479,0.233278053756795,-14.647619308189,1.39519171552106e-48,4.5054062379212e-46
"NM_000596","ENSG00000146678",14.782376556077,-2.07385782085125,0.946512249302384,-2.19105227891109,0.0284480095018762,0.221744059351751
"NM_000623","ENSG00000168398",32.9652252881106,-1.60991414874236,0.425232719611016,-3.78596019190395,0.000153116186935943,0.00365924674821808
"NM_000758","ENSG00000164400",34.2106745802408,-3.5692833377164,0.857475807944658,-4.16254698342086,3.14717358891421e-05,0.000885570247961114
"NM_000759","ENSG00000108342",25.8469359786027,-2.04741410821717,0.625854777593852,-3.27138847783285,0.00107020788882168,0.0190086636386991
"NM_000783","ENSG00000095596",8.96315959705508,2.03912749919849,0.730219590939507,2.7924853352331,0.0052304838417671,0.0685605497611179
"NM_000842","ENSG00000168959",10.6240347168025,1.54906703418362,0.857590204060571,1.80630215556218,0.0708711553341987,0.386836488074159
"NM_000963","ENSG00000073756",1080.11903699324,-1.62628357268352,0.205188709355529,-7.92579463943929,2.26691961448301e-15,2.23443149326382e-13
"NM_001002264","ENSG00000133106",1196.64410508144,-6.48567732719582,0.820162669977039,-7.90779386164624,2.61990157348854e-15,2.56002889487827e-13
"NM_001003395","ENSG00000111907",8.12266121324201,2.29585851615605,1.191069441086,1.92756059131424,0.0539098046528248,0.331208798344016
"NM_001003396","ENSG00000111907",9.27056745893115,1.97223464407828,1.17668143134189,1.67609906262321,0.0937187903454393,0.445933626753131
"NM_001003397","ENSG00000111907",9.27056745893115,1.97223464407828,1.17668143134189,1.67609906262321,0.0937187903454393,0.445933626753131
"NM_001003818","ENSG00000121236",262.106372918549,-1.77582373753132,0.329453822985713,-5.3902052841206,7.03772437665469e-08,3.30968266906006e-06
"NM_001008530","ENSG00000100600",746.554304407335,-1.58250342848784,0.197691945958627,-8.00489580298341,1.19567871260118e-15,1.20302308926315e-13
"NM_001008781","ENSG00000165323",35.2533071022406,2.11587956208494,0.714883317806638,2.95975512280347,0.00307883660420914,0.0449974623874651
"NM_001009554","ENSG00000198948",17.8663756970065,1.83294288103394,0.752702720861644,2.43514847260777,0.0148856803787933,0.144063708610765
"NM_001010987","ENSG00000204010",11.1622665251378,-2.77902702060878,1.21529217584383,-2.28671514212554,0.0222124552891956,0.186700365545798
"NM_001012967","ENSG00000181381",4464.95194073765,-3.44797985884696,0.363450779945399,-9.48678624204617,2.38266788851065e-21,3.4673442101172e-19
"NM_001014440","ENSG00000177989",46.2755746625361,-2.35250260652772,0.773812587252573,-3.04014517892543,0.00236464134179842,0.036461070475834
"NM_001024024","ENSG00000131979",238.129309402577,-2.47049269132724,0.339963332440194,-7.26693868304708,3.67725617299003e-13,3.00445120620658e-11
"NM_001024070","ENSG00000131979",247.763365347448,-2.49574664947227,0.339751519173284,-7.34579982319185,2.04532289828315e-13,1.71236453116263e-11
